YYYY MM DD hh mm DIR SPD GDR GSP GMN
2003 01 04 09 30 339 8.1 999 99.0 99
2003 01 04 09 40 341 9.2 999 99.0 99
2003 01 04 09 50 347 9.3 999 99.0 99
2003 01 04 10 00 346 9.3 345 11.6 0
2003 01 04 10 10 347 9.4 999 99.0 99
2003 01 04 10 20 343 9.6 999 99.0 99
2003 01 04 10 30 339 9.5 999 99.0 99
2003 01 04 10 40 347 9.7 999 99.0 99
2003 01 04 10 50 342 10.2 999 99.0 99
2003 01 04 11 00 343 10.6 345 12.9 56
2003 01 04 11 10 342 10.7 999 99.0 99
2003 01 04 11 20 348 11.1 999 99.0 99
2003 01 04 11 30 345 11.4 999 99.0 99
2003 01 04 11 40 346 11.3 999 99.0 99
2003 01 04 11 50 345 11.0 999 99.0 99
2003 01 04 12 00 347 11.7 349 13.5 33
2003 01 04 12 10 346 11.7 999 99.0 99
2003 01 04 12 20 350 10.5 999 99.0 99
2003 01 04 12 30 350 10.3 999 99.0 99
2003 01 04 12 40 351 10.2 999 99.0 99
2003 01 04 12 50 355 10.0 999 99.0 99
2003 01 04 13 00 350 9.3 347 13.9 4
2003 01 04 13 10 349 9.7 999 99.0 99
2003 01 04 13 20 348 11.0 999 99.0 99
2003 01 04 13 30 349 11.4 999 99.0 99
2003 01 04 13 40 348 11.3 999 99.0 99
2003 01 04 13 50 348 11.0 999 99.0 99
2003 01 04 14 00 354 9.8 354 13.3 30
2003 01 04 14 10 356 9.4 999 99.0 99
2003 01 04 14 20 352 9.5 999 99.0 99
2003 01 04 14 30 357 9.9 999 99.0 99
2003 01 04 14 40 355 9.3 999 99.0 99
2003 01 04 14 50 351 8.7 999 99.0 99
2003 01 04 15 00 354 8.1 359 11.4 20
2003 01 04 15 10 357 7.5 999 99.0 99
2003 01 04 15 20 353 7.0 999 99.0 99
2003 01 04 15 30 350 6.5 999 99.0 99
2003 01 04 15 40 355 6.6 999 99.0 99
2003 01 04 15 50 349 6.5 999 99.0 99
2003 01 04 16 00 347 6.4 8 9.4 1
2003 01 04 16 10 353 6.8 999 99.0 99
2003 01 04 16 20 346 6.5 999 99.0 99
2003 01 04 16 30 345 6.7 999 99.0 99
2003 01 04 16 40 350 7.3 999 99.0 99
2003 01 04 16 50 348 6.8 999 99.0 99
2003 01 04 17 00 353 6.8 348 9.3 50
2003 01 04 17 10 357 6.3 999 99.0 99
2003 01 04 17 20 2 6.0 999 99.0 99
2003 01 04 17 30 359 5.4 999 99.0 99
2003 01 04 17 40 354 5.5 999 99.0 99
2003 01 04 17 50 349 5.6 999 99.0 99
2003 01 04 18 00 346 5.7 345 7.8 0
2003 01 04 18 10 356 5.0 999 99.0 99
2003 01 04 18 20 350 4.6 999 99.0 99
2003 01 04 18 30 349 4.7 999 99.0 99
2003 01 04 18 40 352 4.4 999 99.0 99
2003 01 04 18 50 353 4.7 999 99.0 99
